Teammembers,Experience,Size,Complexity,Priority,Noftasks,PL,developmenttype,platform,externalhardware,relatedtechnologies,dbms,Requirement Volatility,Effort 
4,36,4,3,1,5,Java,Mobile,Android Studio,0,Blockchain,SQL,Medium,5
3,36,3,2,2,4,Java,Mobile,Android Studio,0,Blockchain,SQL,Low,3
3,36,2,4,3,3,Java,Mobile,Android Studio,0,Computer Vision,SQL,High,5
2,36,1,1,4,2,Java,Mobile,Android Studio,0,Blockchain,SQL,Low,1
3,24,3,2,1,4,Python,Web,Python,0,Computer Vision,Firebase,Low,3
3,24,4,3,2,5,Python,Web,Python,0,None,Firebase,Medium,3
3,24,3,4,3,4,Python,Web,Python,0,None,Firebase,High,5
3,24,2,2,4,3,Python,Web,Python,0,None,Firebase,Low,2
3,36,3,3,1,4,Python,Web,Python,0,None,SQL,Medium,3
2,24,2,2,2,3,Python,Web,Python,0,None,SQL,Low,2
3,36,3,4,3,4,Python,Web,Python,0,None,SQL,Medium,5
3,36,4,3,4,5,Python,Web,Python,0,None,SQL,Medium,5
4,48,5,5,5,6,Python,Web,Python,0,None,SQL,High,13
3,36,3,3,6,4,Python,Web,Python,0,None,SQL,Low,3
3,36,4,4,7,5,Python,Web,Python,0,None,SQL,Medium,8
3,36,3,3,8,4,Python,Web,Python,0,None,SQL,Medium,3
3,36,4,3,9,5,Python,Web,Python,0,None,SQL,Medium,3
3,36,3,4,10,4,Python,Web,Python,0,None,SQL,Low,5
3,36,3,4,11,4,Python,Web,Python,0,None,SQL,Low,5
2,36,2,2,12,3,Python,Web,Python,0,None,SQL,Low,2
3,36,4,3,13,5,Python,Web,Python,0,None,SQL,Medium,3
2,48,3,3,1,3,Python,Web,Python,0,None,Firebase,Low,3
2,48,2,2,2,3,Python,Web,Python,0,None,Firebase,Medium,2
2,48,2,1,3,2,Python,Web,Python,0,None,Firebase,Medium,1
3,48,3,2,4,4,Python,Web,Python,0,None,Firebase,Low,3
3,48,4,3,5,5,Python,Web,Python,0,None,Firebase,High,5
3,48,2,2,6,3,Python,Web,Python,0,None,Firebase,Low,2
3,48,3,3,7,4,Python,Web,Python,0,None,Firebase,Medium,3
3,48,4,3,8,5,Python,Web,Python,0,None,Firebase,High,5
3,36,3,2,1,4,HTML,Web,.NET,0,None,SQL,Medium,3
3,36,3,3,2,4,HTML,Web,.NET,0,None,SQL,Medium,3
3,36,2,3,3,3,Python,Web,Python,0,None,SQL,Low,2
3,36,4,4,4,5,Python,Web,Python,0,None,SQL,High,8
3,36,3,3,5,4,Python,Web,Python,0,None,SQL,Medium,3
3,36,4,4,6,5,Python,Web,Python,0,None,SQL,Medium,8
3,36,3,3,7,4,Python,Web,Python,0,None,SQL,Medium,3
3,36,4,4,8,5,Python,Web,Python,0,None,SQL,Medium,8
3,36,3,3,9,4,Python,Web,Python,0,None,SQL,Low,3
4,48,5,5,10,6,Python,Web,Python,0,location,SQL,Medium,13
2,24,2,2,1,3,Python,Web,Python,0,None,SQL,Low,2
3,36,3,3,2,4,Python,Web,Python,0,None,SQL,Low,3
2,24,2,2,3,3,Python,Web,Python,0,None,SQL,Medium,2
3,36,3,3,4,4,Python,Web,Python,0,None,SQL,Medium,3
3,36,3,3,5,4,Python,Web,Python,0,None,SQL,Medium,3
2,24,2,2,6,3,Python,Web,Python,0,None,SQL,Low,2
3,36,3,4,7,4,Python,Web,Python,0,None,SQL,Low,5
3,36,4,4,8,5,Python,Web,Python,0,None,SQL,Medium,8
3,36,3,3,9,4,Python,Web,Python,0,None,SQL,Low,3
2,24,2,2,10,3,Python,Web,Python,0,None,SQL,Low,2
3,36,3,3,11,4,Python,Web,Python,0,None,SQL,Medium,3
2,24,2,2,12,3,Python,Web,Python,0,None,SQL,Low,2
2,18,2,2,1,2,Python,Web,Python,0,None,None,Low,2
3,24,3,3,2,3,C#,Web,.NET,0,Blockchain,SQL,Medium,5
2,12,2,1,3,2,Python,Web,Python,0,None,None,Medium,1
3,30,4,4,4,4,C#,Web,.NET,0,AI,SQL,High,8
2,24,3,3,5,3,Python,Web,Python,0,AI,SQL,Medium,5
2,18,3,3,6,3,Javascript,Web,Node.js,0,Blockchain,None,Medium,5
2,24,1,1,7,1,Python,Web,Python,0,None,None,Low,1
3,36,4,3,8,4,C#,Web,.NET,0,Blockchain,SQL,Low,5
3,24,5,5,9,5,Python,Web,Python,0,AI,SQL,High,13
2,18,3,3,10,3,Python,Web,Python,0,Location,None,Medium,5
2,24,3,3,11,3,Python,Web,Google Colab,0,None,None,Medium,3
2,24,2,2,12,2,Python,Web,Python,0,AI,SQL,High,5
2,24,2,2,13,2,Python,Web,Python,0,Computer Vision,None,Low,3
2,24,2,2,14,2,Python,Web,Python,0,None,None,Low,2
2,24,3,3,1,3,Python,Web,Python,0,Blockchain,SQL,Low,5
2,24,3,2,2,2,Python,Web,Python,0,None,None,Low,2
2,24,2,2,3,3,Python,Web,Python,0,None,None,Low,2
2,24,2,2,4,2,Python,Web,Python,0,None,None,Low,2
2,24,3,3,5,3,Python,Web,Python,0,None,SQL,Medium,3
2,24,2,2,6,2,Python,Web,Python,0,Gamification,None,Low,3
3,36,4,3,7,4,Python,Web,Python,0,AI,SQL,Medium,5
2,24,3,3,1,3,Python,Database,Python,0,None,None,Medium,3
2,24,3,2,2,2,Python,Database,Python,0,None,None,Low,2
2,24,3,3,3,3,Python,Database,Python,0,Blockchain,SQL,Medium,5
2,24,3,3,4,3,Python,Database,Python,0,None,SQL,Low,3
2,24,1,2,5,2,Python,Database,Python,0,Location,None,Low,2
3,36,4,4,6,4,Python,Database,Python,0,AI,SQL,High,8
2,24,3,3,7,3,Python,Database,Python,0,None,None,Low,3
2,24,3,3,8,3,Python,Database,Python,0,Blockchain,SQL,Medium,3
2,24,3,3,9,3,Python,Database,Python,0,None,None,Medium,3
2,24,2,2,10,2,Python,Database,Python,0,None,SQL,Low,2
2,24,3,2,1,2,C#,Desktop,.Net,0,Gamification,None,Low,3
2,24,2,1,2,1,C#,Desktop,.Net,0,Gamification,None,Low,1
2,24,3,3,3,3,C#,Desktop,.Net,0,Blockchain,None,Low,5
2,24,2,1,4,2,C#,Desktop,.Net,0,Gamification,None,Low,2
2,24,3,2,5,1,C#,Desktop,.Net,0,Gamification,None,Low,2
2,24,3,3,1,3,Swift,Mobile,iOS,1,Voice Recognition,Firebase,Medium,8
2,24,4,5,2,4,Swift,Mobile,iOS,1,Location,Firebase,High,13
2,24,3,3,3,3,Swift,Mobile,iOS,1,Voice Recognition,Firebase,Medium,8
3,36,5,5,4,5,Swift,Mobile,iOS,1,Computer Vision,Firebase,High,21
2,24,3,3,5,3,Python,Web,Python,0,AI,SQL,Medium,3
2,24,3,3,1,3,Python,Web,Python,0,None,None,Low,3
2,24,2,2,2,3,Python,Web,Python,0,None,SQL,Low,2
2,24,3,2,3,3,Python,Web,Python,0,None,None,Medium,2
2,24,3,2,4,2,Python,Web,Python,0,None,SQL,Medium,2
2,24,3,2,5,4,Python,Web,Python,0,None,None,Medium,2
2,24,2,3,1,2,Python,Web,Python,0,Location,Firebase,Medium,3
2,24,4,2,2,2,Python,Web,Python,0,None,None,Low,3
2,24,2,1,3,2,Python,Web,Python,0,None,None,Medium,1
2,24,3,3,1,4,Python,Web,Python,0,Location,None,Low,3
2,24,5,3,2,5,Python,Web,Python,0,Location,None,Medium,5
2,24,2,1,3,1,Python,Web,Google Colab,0,None,None,High,1
2,24,3,2,4,3,Python,Web,Python,0,None,None,Low,2
4,22,2,1,1,3,C#,Desktop,.NET,0,None,Firebase,Medium,1
4,41,4,2,2,2,C#,Desktop,.NET,1,AI,None,High,3
4,34,4,2,3,3,C#,Desktop,.NET,0,None,SQL,Medium,3
2,20,3,4,1,4,Java,Mobile,Android Studio,1,Blockchain,Firebase,Medium,8
3,45,1,1,2,5,Java,Mobile,Android Studio,0,AI,Firebase,Low,2
4,41,1,2,3,3,Java,Mobile,Android Studio,0,None,None,Low,2
3,15,1,3,4,3,Java,Mobile,Android Studio,1,AI,None,Low,5
4,33,1,2,1,3,Java,Mobile,Android Studio,1,AI,None,Low,3
2,47,2,3,2,5,Java,Mobile,Android Studio,0,None,SQL,Low,3
4,20,4,3,3,3,Java,Mobile,Android Studio,0,None,SQL,Medium,3
3,14,4,3,4,5,Java,Mobile,Android Studio,0,AI,None,Medium,8
2,36,4,3,1,2,Java,Mobile,Android Studio,1,None,None,Low,5
2,41,4,1,2,3,Java,Mobile,Android Studio,1,AI,SQL,Low,3
3,28,3,3,3,3,Java,Mobile,Android Studio,0,Blockchain,Firebase,Low,5
2,18,4,1,4,3,Java,Mobile,Android Studio,1,Computer Vision,SQL,High,5
2,28,3,2,1,4,C#,Web,.NET,1,Blockchain,SQL,Medium,5
2,38,1,4,2,3,C#,Web,.NET,0,AI,SQL,Low,5
3,44,4,3,3,3,C#,Web,.Net,1,Computer Vision,None,High,8
3,39,2,4,4,5,C#,Web,.NET,1,None,Firebase,Medium,5
2,18,2,3,1,4,Java,Mobile,Android Studio,0,None,Firebase,Medium,3
3,33,2,3,2,4,Java,Mobile,Android Studio,1,None,None,Low,3
3,39,2,1,3,5,Java,Mobile,Android Studio,1,AI,SQL,Low,3
2,44,1,3,4,4,Java,Mobile,Android Studio,0,None,SQL,Low,3
3,17,2,2,1,3,C#,Web,.NET,0,Blockchain,Firebase,Low,3
4,39,1,3,2,5,C#,Web,.NET,0,Blockchain,Firebase,Medium,5
2,37,3,4,3,2,C#,Web,.NET,0,None,SQL,Medium,5
2,47,3,3,4,3,C#,Web,.NET,0,AI,SQL,Low,5
3,31,4,3,1,3,Java,Mobile,Android Studio,1,Blockchain,SQL,Low,8
3,25,2,2,2,4,Python,Mobile,Python,1,Blockchain,SQL,Medium,5
3,36,4,2,3,2,Java,Mobile,Android Studio,1,AI,Firebase,Medium,5
2,19,1,1,4,3,Python,Mobile,Python,0,AI,Firebase,Low,1
4,27,2,3,1,4,Java,Mobile,Android Studio,0,None,SQL,Low,3
2,43,1,2,2,3,Java,Mobile,Android Studio,1,None,Firebase,Low,3
4,22,4,2,3,5,Java,Mobile,Android Studio,1,Blockchain,SQL,Medium,8
2,24,4,2,4,4,Java,Mobile,Android Studio,0,Computer Vision,None,Medium,5
2,34,1,1,1,5,Java,Mobile,Android Studio,1,Blockchain,Firebase,Low,2
3,26,4,1,2,5,Java,Mobile,Android Studio,0,AI,SQL,Low,3
4,30,4,2,3,2,Java,Mobile,Android Studio,0,AI,SQL,Low,3
4,25,3,4,4,4,Java,Mobile,Android Studio,1,AI,Firebase,Medium,8
4,37,1,1,1,5,Java,Mobile,Android Studio,0,AI,Firebase,Low,2
3,44,2,4,2,3,Java,Mobile,Android Studio,1,Blockchain,SQL,Low,8
2,30,3,4,3,4,Java,Mobile,Android Studio,1,None,SQL,Low,5
2,43,2,2,4,5,Java,Mobile,Android Studio,0,AI,SQL,Medium,5
4,31,3,1,1,4,C#,Web,.Net,1,Computer Vision,None,Low,3
3,24,1,3,2,4,C#,Web,.Net,0,Blockchain,Firebase,Low,5
4,37,3,2,3,5,C#,Web,.Net,0,None,SQL,Low,2
2,30,1,3,4,4,C#,Web,.Net,0,Computer Vision,SQL,High,5
3,38,4,1,1,3,C#,Web,.NET,0,Blockchain,Firebase,Low,2
4,13,3,3,2,3,HTML,Web,.NET,1,None,SQL,Low,5
4,15,4,3,3,4,HTML,Web,.NET,1,Computer Vision,Firebase,Low,8
4,43,2,3,4,4,C#,Web,.NET,0,Computer Vision,Firebase,Low,5
3,24,3,3,1,4,Python,Web,Python,0,Blockchain,Firebase,Low,5
4,36,4,4,2,5,Python,Web,Python,0,Blockchain,Firebase,Medium,13
2,24,2,2,3,3,Python,Web,Python,0,Computer Vision,Firebase,Low,3
3,36,3,3,4,4,Python,Web,Python,0,Blockchain,Firebase,Medium,5
